Codi;PORIND
0800101001;295
0800101002;669
0800101003;82
0800101004;171
0800101005;451
0800101007;338
0800301001;156
0800301002;171
0800301003;112
0800301004;106
0800501001;212
0800501002;115
0800501003;225
0800601001;183
0800601002;193
0800601003;128
0800602001;172
0800602002;181
0800602003;149
0800602004;385
0800701001;157
0800701002;381
0800702001;178
0800702002;229
0800901001;296
0800901002;283
0800901003;219
0800902001;286
0800902002;166
0801301001;211
0801401001;395
0801501001;85
0801501002;67
0801501003;49
0801501004;52
0801501005;79
0801501007;66
0801501008;43
0801502001;160
0801502002;143
0801502003;58
0801502004;92
0801502005;86
0801502006;104
0801502007;122
0801502008;151
0801502009;188
0801502010;269
0801502011;267
0801502012;182
0801502013;195
0801502014;98
0801502015;189
0801503001;115
0801503002;266
0801503003;149
0801503004;123
0801503005;174
0801503006;87
0801503007;68
0801503008;52
0801503009;36
0801503010;155
0801503011;125
0801503012;91
0801504001;441
0801504002;196
0801504003;147
0801504004;358
0801504005;157
0801504006;313
0801504007;241
0801504008;221
0801504009;104
0801504010;171
0801504011;201
0801504012;184
0801504013;171
0801504014;524
0801505001;138
0801505002;87
0801505003;200
0801505004;268
0801505005;270
0801505006;74
0801506001;180
0801506002;152
0801506003;216
0801506004;237
0801506005;242
0801506006;161
0801507001;242
0801507002;351
0801507003;182
0801507004;153
0801507005;123
0801507006;141
0801507007;153
0801507008;146
0801507009;113
0801507010;146
0801507011;267
0801507012;303
0801507013;244
0801507014;325
0801507015;209
0801507017;131
0801507018;301
0801507019;112
0801507020;189
0801507021;162
0801507022;85
0801507023;178
0801507024;202
0801507025;136
0801507026;146
0801507027;288
0801507028;377
0801507029;409
0801507030;356
0801507031;292
0801508001;160
0801508002;398
0801508003;406
0801508004;166
0801508005;162
0801508006;353
0801508007;193
0801508008;417
0801508009;246
0801508010;308
0801508011;164
0801508012;320
0801508013;191
0801509001;86
0801509002;238
0801509003;134
0801509004;197
0801509005;123
0801509006;206
0801509008;260
0801509009;141
0801509010;193
0801509011;111
0801509012;80
0801509013;137
0801509014;299
0801509015;146
0801509016;343
0801509017;141
0801509018;106
0801509019;188
0801509020;148
0801509021;257
0801509022;217
0801509023;137
0801509024;359
0801509025;167
0801509026;237
0801509027;163
0801509028;480
0801509029;168
0801509030;216
0801509031;199
0801509032;175
0801509033;294
0801509034;346
0801509035;337
0801509036;250
0801509037;200
0801509038;191
0801509042;132
0801509043;321
0801509044;192
0801509045;288
0801509046;159
0801509047;275
0801509048;255
0801509049;249
0801509050;175
0801509052;179
0801509053;190
0801509054;288
0801509055;172
0801509056;125
0801509057;162
0801509058;221
0801509059;175
0801901001;41
0801901002;43
0801901003;63
0801901005;66
0801901006;81
0801901007;51
0801901008;69
0801901009;92
0801901011;88
0801901013;96
0801901014;112
0801901018;78
0801901019;78
0801901020;80
0801901022;42
0801901023;150
0801901025;52
0801901027;54
0801901029;76
0801901031;74
0801901032;52
0801901033;68
0801901034;45
0801901036;69
0801901038;59
0801901039;60
0801901040;136
0801901043;55
0801901045;37
0801901046;109
0801901048;56
0801901049;75
0801901050;67
0801901052;45
0801901053;91
0801901054;68
0801901055;62
0801901056;103
0801901058;42
0801901059;36
0801901061;45
0801901063;46
0801901066;49
0801901068;37
0801901069;38
0801901071;49
0801901073;125
0801901077;60
0801901079;63
0801901082;68
0801901083;84
0801901086;33
0801901087;136
0801901088;42
0801901089;80
0801901091;122
0801901094;112
0801901095;94
0801901097;60
0801901099;41
0801901100;110
0801901103;72
0801901104;93
0801901105;84
0801901107;38
0801901109;128
0801901112;69
0801901114;63
0801901115;102
0801901116;79
0801901118;119
0801901120;128
0801901122;88
0801901123;61
0801901124;110
0801901126;72
0801901127;66
0801901129;39
0801901130;73
0801901132;70
0801901134;84
0801901137;59
0801901138;52
0801901139;71
0801901140;62
0801901141;68
0801901142;55
0801901144;57
0801901146;41
0801901148;55
0801901150;33
0801901151;34
0801902001;44
0801902002;48
0801902003;35
0801902004;38
0801902005;41
0801902006;45
0801902007;56
0801902008;42
0801902009;39
0801902010;35
0801902011;43
0801902012;55
0801902013;59
0801902014;65
0801902015;61
0801902017;28
0801902018;58
0801902019;62
0801902020;95
0801902021;75
0801902024;35
0801902025;45
0801902026;36
0801902027;36
0801902028;46
0801902029;49
0801902030;61
0801902031;40
0801902032;59
0801902033;38
0801902034;47
0801902035;43
0801902036;62
0801902037;43
0801902039;46
0801902040;49
0801902041;46
0801902042;34
0801902043;32
0801902045;25
0801902047;55
0801902049;47
0801902051;22
0801902052;23
0801902053;26
0801902054;35
0801902055;51
0801902056;22
0801902057;29
0801902059;49
0801902060;53
0801902061;39
0801902062;29
0801902063;46
0801902065;46
0801902066;36
0801902067;51
0801902068;51
0801902070;47
0801902071;55
0801902072;40
0801902073;51
0801902074;49
0801902075;88
0801902077;56
0801902078;43
0801902079;74
0801902080;41
0801902081;43
0801902082;70
0801902083;41
0801902084;66
0801902085;49
0801902086;63
0801902087;56
0801902089;54
0801902090;36
0801902091;16
0801902092;51
0801902093;47
0801902094;60
0801902095;41
0801902096;24
0801902097;37
0801902098;36
0801902099;30
0801902100;15
0801902101;47
0801902102;22
0801902103;43
0801902104;27
0801902105;33
0801902106;24
0801902107;34
0801902109;15
0801902110;31
0801902112;32
0801902114;25
0801902115;34
0801902117;34
0801902118;33
0801902121;35
0801902124;34
0801902125;26
0801902126;9
0801902127;20
0801902128;47
0801902129;32
0801902130;45
0801902131;42
0801902132;45
0801902133;36
0801902134;50
0801902135;34
0801902137;38
0801902138;77
0801902140;60
0801902141;41
0801902142;39
0801902143;36
0801902144;41
0801902145;62
0801902146;57
0801902148;52
0801902149;58
0801902151;29
0801902152;38
0801902153;31
0801902154;32
0801902155;20
0801902156;22
0801902157;15
0801902158;16
0801902159;30
0801902161;22
0801902162;17
0801902163;28
0801902167;20
0801902168;30
0801902169;20
0801902170;17
0801902171;32
0801902172;17
